what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1383593624408
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1383593624409
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1383593624409
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1383593624410
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1383593624411
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1383593624412
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1383593624413
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1383593624413
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1383593624414
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1383593624415
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1383593624416
os,sysinfo,,,"win32",1383593624426
arch,sysinfo,,,"x86",1383593624426
ws,sysinfo,,,"win32",1383593624426
locale,sysinfo,,,"en_US",1383593624426
processors,sysinfo,,,"2",1383593624427
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1383593624427
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1383593624427
java.specification.name,sysinfo,,,"Java Platform API Specification",1383593624427
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1383593624427
java.specification.version,sysinfo,,,"1.6",1383593624427
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1383593624427
java.version,sysinfo,,,"1.6.0_31",1383593624427
java.vm.info,sysinfo,,,"mixed mode",1383593624427
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1383593624427
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1383593624427
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1383593624427
java.vm.specification.version,sysinfo,,,"1.0",1383593624427
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1383593624427
java.vm.version,sysinfo,,,"20.6-b01",1383593624427
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1383593625554
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383593626044
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383593684621
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1383593686445
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1383593687083
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1383593688898
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1383593690059
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383593691861
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383593693271
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1383593694901
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1383593695163
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1383593695173
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1383593695505
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1383593695555
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1383593695575
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1383593695575
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1383593695596
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1383593695596
started,bundle,org.eclipse.jst.j2ee.core,1.2.0.v201005200200,"org.eclipse.jst.j2ee.core",1383593695757
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1383593695809
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1383593695839
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1383593695899
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1383593695919
started,bundle,org.eclipse.jst.j2ee,1.1.400.v201005271900,"org.eclipse.jst.j2ee",1383593695940
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1383593695949
started,bundle,org.eclipse.jst.jee,1.0.300.v201005191301,"org.eclipse.jst.jee",1383593696022
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1383593696022
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1383593696069
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383593697218
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383593700010
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383593706571
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383593709753
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383593710583
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383593736483
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1383593737153
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1383593737607
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1383593737787
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1383593738939
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383593740252
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383593741117
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383593741688
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383593743488
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383593744208
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383593768178
